Id,System,Class,Static,Static2,Sun,Planets,Moons,Effect,Region,Constelation
unknown,J144855,1, J244,, Red Giant,8,27,, Unknown (R01), Unknown (C314)
unknown,J101453,1, J244,, Orange Bright,9,13,, Unknown (R01), Unknown (C314)
unknown,J144913,1, J244,, Red Giant,9,27,, Unknown (R01), Unknown (C314)
unknown,J144530,1, J244,, Yellow,7,19,, Unknown (R01), Unknown (C314)
unknown,J135411,1, J244,, Yellow Small,11,63, Magnetar, Unknown (R01), Unknown (C314)
unknown,J125713,1, J244,, White,9,65,, Unknown (R01), Unknown (C314)
unknown,J105521,1, J244,, Red Giant,6,39, Red Giant, Unknown (R01), Unknown (C314)
unknown,J224324,1, J244,, Orange,8,52,, Unknown (R01), Unknown (C315)
unknown,J163203,1, J244,, Blue,9,63, Cataclysmic Variable, Unknown (R01), Unknown (C315)
unknown,J171818,1, J244,, Orange radiant,8,38, Magnetar, Unknown (R01), Unknown (C315)
unknown,J145337,1, J244,, Orange,8,67,, Unknown (R01), Unknown (C315)
unknown,J150131,1, J244,, Pink Small,10,68,, Unknown (R01), Unknown (C315)
unknown,J130842,1, J244,, White Dwarf,8,59,, Unknown (R01), Unknown (C315)
unknown,J145406,1, J244,, Orange,8,55,, Unknown (R01), Unknown (C315)
unknown,J103404,1, J244,, Yellow Small,9,41, Wolf-Rayet Star, Unknown (R01), Unknown (C315)
unknown,J112124,1, J244,, Yellow Small,7,27,, Unknown (R01), Unknown (C315)
unknown,J124926,1, J244,, Orange Bright,9,59, Cataclysmic Variable, Unknown (R01), Unknown (C316)
unknown,J232605,1, J244,, Pink,4,57,, Unknown (R01), Unknown (C316)
unknown,J144938,1, J244,, Yellow,9,49,, Unknown (R01), Unknown (C316)
unknown,J233828,1, J244,, Orange radiant,6,42,, Unknown (R01), Unknown (C316)
unknown,J130714,1, J244,, Yellow Small,9,48, Black Hole, Unknown (R01), Unknown (C316)
unknown,J142701,1, J244,, Orange,8,42,, Unknown (R01), Unknown (C316)
unknown,J154226,1, J244,, Orange radiant,11,47,, Unknown (R01), Unknown (C316)
unknown,J125843,1, J244,, Pink,4,4,, Unknown (R01), Unknown (C316)
unknown,J155459,1, J244,, Pink,8,61,, Unknown (R01), Unknown (C316)
unknown,J225555,1, J244,, Pink Small,5,27, Magnetar, Unknown (R01), Unknown (C317)
unknown,J115549,1, J244,, Orange radiant,7,49,, Unknown (R01), Unknown (C317)
unknown,J140741,1, J244,, Orange radiant,8,78, Black Hole, Unknown (R01), Unknown (C317)
unknown,J104140,1, J244,, Yellow,9,52,, Unknown (R01), Unknown (C317)
unknown,J101757,1, J244,, Orange,3,23, Black Hole, Unknown (R01), Unknown (C317)
unknown,J100250,1, J244,, Yellow,13,34,, Unknown (R01), Unknown (C317)
unknown,J113721,1, J244,, Orange radiant,12,78,, Unknown (R01), Unknown (C317)
unknown,J105039,1, J244,, Orange radiant,8,50, Pulsar, Unknown (R01), Unknown (C317)
unknown,J233550,1, J244,, Orange radiant,8,55,, Unknown (R01), Unknown (C317)
unknown,J114033,1, J244,, Orange,8,52, Wolf-Rayet Star, Unknown (R01), Unknown (C318)
unknown,J105936,1, J244,, Pink,8,50, Red Giant, Unknown (R01), Unknown (C318)
unknown,J140121,1, J244,, Red Giant,12,25, Magnetar, Unknown (R01), Unknown (C318)
unknown,J154029,1, J244,, Pink,10,69,, Unknown (R01), Unknown (C318)
unknown,J101336,1, J244,, Orange radiant,8,51, Cataclysmic Variable, Unknown (R01), Unknown (C318)
unknown,J160039,1, J244,, Pink,7,57,, Unknown (R01), Unknown (C318)
unknown,J161257,1, J244,, Orange,8,67, Red Giant, Unknown (R01), Unknown (C318)
unknown,J144303,1, J244,, Pink Small,11,32,, Unknown (R01), Unknown (C318)
unknown,J121131,1, J244,, Pink Small,6,7, Wolf-Rayet Star, Unknown (R01), Unknown (C318)
unknown,J113653,1, J244,, Orange,9,29,, Unknown (R01), Unknown (C318)
unknown,J123454,1, J244,, Orange Bright,8,9, Wolf-Rayet Star, Unknown (R01), Unknown (C318)
unknown,J110750,1, J244,, Orange radiant,8,56,, Unknown (R01), Unknown (C318)
unknown,J151106,1, J244,, White,10,59, Magnetar, Unknown (R01), Unknown (C319)
unknown,J100040,1, J244,, Yellow Small,7,32, Black Hole, Unknown (R01), Unknown (C319)
unknown,J223733,1, J244,, Orange Bright,6,44,, Unknown (R01), Unknown (C319)
unknown,J110431,1, J244,, Pink,10,92, Cataclysmic Variable, Unknown (R01), Unknown (C319)
unknown,J134446,1, J244,, Orange radiant,8,99,, Unknown (R01), Unknown (C319)
unknown,J143202,1, J244,, Pink,9,13,, Unknown (R01), Unknown (C319)
unknown,J210436,1, J244,, Pink,12,13,, Unknown (R01), Unknown (C319)
unknown,J133030,1, J244,, Yellow,11,48, Cataclysmic Variable, Unknown (R01), Unknown (C319)
unknown,J170645,1, J244,, Yellow,10,74,, Unknown (R01), Unknown (C319)
unknown,J103151,1, J244,, Orange,12,68, Pulsar, Unknown (R01), Unknown (C320)
unknown,J222206,1, J244,, Yellow Small,8,57,, Unknown (R01), Unknown (C320)
unknown,J130602,1, J244,, Orange radiant,11,70,, Unknown (R01), Unknown (C320)
unknown,J123708,1, J244,, Orange,7,31,, Unknown (R01), Unknown (C320)
unknown,J123831,1, J244,, Orange radiant,8,90,, Unknown (R01), Unknown (C320)
unknown,J164927,1, J244,, Pink Small,8,45,, Unknown (R01), Unknown (C320)
unknown,J134143,1, J244,, Yellow Small,7,44,, Unknown (R01), Unknown (C320)
unknown,J214534,1, J244,, Yellow Small,6,68,, Unknown (R01), Unknown (C320)
unknown,J135250,1, J244,, Pink Small,9,49,, Unknown (R01), Unknown (C320)
unknown,J111707,1, J244,, Orange,10,38,, Unknown (R01), Unknown (C320)
unknown,J135245,1, J244,, Orange Bright,8,24,, Unknown (R01), Unknown (C320)
unknown,J101408,1, J244,, Orange radiant,11,55,, Unknown (R01), Unknown (C320)
unknown,J215117,1, J244,, Pink Small,8,60,, Unknown (R01), Unknown (C321)
unknown,J141019,1, J244,, Yellow,10,46,, Unknown (R01), Unknown (C321)
unknown,J102206,1, J244,, Orange radiant,7,57,, Unknown (R01), Unknown (C321)
unknown,J125903,1, J244,, Red Giant,6,52,, Unknown (R01), Unknown (C321)
unknown,J134939,1, J244,, Orange radiant,6,40,, Unknown (R01), Unknown (C321)
unknown,J162641,1, J244,, Orange,6,31, Red Giant, Unknown (R01), Unknown (C321)
unknown,J152537,1, J244,, Yellow Small,11,50, Black Hole, Unknown (R01), Unknown (C321)
unknown,J224442,1, J244,, Yellow Small,8,7, Black Hole, Unknown (R01), Unknown (C321)
unknown,J104138,1, J244,, White,11,30, Magnetar, Unknown (R01), Unknown (C321)
unknown,J121516,1, J244,, Pink,9,12,, Unknown (R01), Unknown (C321)
unknown,J114540,1, J244,, Pink Small,9,16,, Unknown (R01), Unknown (C321)
unknown,J155013,1, J244,, Blue Bright,12,53,, Unknown (R01), Unknown (C321)
unknown,J144450,1, J244,, Orange radiant,4,19,, Unknown (R01), Unknown (C322)
unknown,J141239,1, J244,, Orange radiant,10,68,, Unknown (R01), Unknown (C322)
unknown,J115545,1, J244,, Blue,8,50,, Unknown (R01), Unknown (C322)
unknown,J114905,1, J244,, Yellow Small,10,33,, Unknown (R01), Unknown (C322)
unknown,J120522,1, J244,, Orange,7,34,, Unknown (R01), Unknown (C322)
unknown,J172907,1, J244,, Orange,11,58, Pulsar, Unknown (R01), Unknown (C322)
unknown,J164550,1, J244,, Yellow,13,67, Magnetar, Unknown (R01), Unknown (C322)
unknown,J141812,1, J244,, Pink Small,7,70,, Unknown (R01), Unknown (C322)
unknown,J134637,1, J244,, Red Giant,9,30,, Unknown (R01), Unknown (C322)
unknown,J134132,1, J244,, Yellow Small,9,84,, Unknown (R01), Unknown (C322)
unknown,J125011,1, J244,, Pink Small,6,71,, Unknown (R01), Unknown (C322)
unknown,J105942,1, J244,, Pink,7,50, Cataclysmic Variable, Unknown (R01), Unknown (C323)
unknown,J171653,1, J244,, Red Giant,11,56,, Unknown (R01), Unknown (C323)
unknown,J110213,1, J244,, Yellow Small,6,5,, Unknown (R01), Unknown (C323)
unknown,J115048,1, J244,, Blue,7,31,, Unknown (R01), Unknown (C323)
unknown,J174405,1, J244,, Orange radiant,6,54, Wolf-Rayet Star, Unknown (R01), Unknown (C323)
unknown,J123111,1, J244,, Pink Small,7,69,, Unknown (R01), Unknown (C323)
unknown,J123047,1, J244,, Yellow Small,9,45,, Unknown (R01), Unknown (C323)
unknown,J231541,1, J244,, Red Giant,9,34,, Unknown (R01), Unknown (C323)
unknown,J215900,1, J244,, Pink Small,9,68, Cataclysmic Variable, Unknown (R01), Unknown (C323)
unknown,J110651,1, J244,, Pink,8,40,, Unknown (R01), Unknown (C323)
unknown,J140602,1, J244,, Yellow,6,88,, Unknown (R01), Unknown (C323)
unknown,J163804,1, J244,, Pink Small,9,48, Wolf-Rayet Star, Unknown (R01), Unknown (C323)
unknown,J125209,1, N110,, Blue Small,9,78, Magnetar, Unknown (R02), Unknown (C001)
unknown,J140831,1, N110,, Orange,2,17,, Unknown (R02), Unknown (C001)
unknown,J161811,1, N110,, Red Giant,8,9,, Unknown (R02), Unknown (C001)
unknown,J112913,1, N110,, Pink Small,13,32,, Unknown (R02), Unknown (C001)
unknown,J105632,1, N110,, Yellow,10,41,, Unknown (R02), Unknown (C001)
unknown,J160710,1, N110,, Orange Bright,6,31,, Unknown (R02), Unknown (C001)
unknown,J160835,1, N110,, Pink Small,9,27,, Unknown (R02), Unknown (C001)
unknown,J122659,1, N110,, Pink,8,16,, Unknown (R02), Unknown (C001)
unknown,J130931,1, N110,, Orange radiant,7,55,, Unknown (R02), Unknown (C001)
unknown,J161115,1, N110,, Orange,8,74,, Unknown (R02), Unknown (C001)
unknown,J120734,1, N110,, White,10,46,, Unknown (R02), Unknown (C001)
unknown,J110906,1, N110,, White Dwarf,11,12,, Unknown (R02), Unknown (C002)
unknown,J121418,1, N110,, Orange radiant,10,67,, Unknown (R02), Unknown (C002)
unknown,J113820,1, N110,, Yellow Small,11,45,, Unknown (R02), Unknown (C002)
unknown,J113506,1, N110,, Orange Bright,7,19,, Unknown (R02), Unknown (C002)
unknown,J172240,1, N110,, Orange radiant,7,28,, Unknown (R02), Unknown (C002)
unknown,J110101,1, N110,, Orange,7,68,, Unknown (R02), Unknown (C002)
unknown,J110108,1, N110,, Orange radiant,8,50,, Unknown (R02), Unknown (C002)
unknown,J213555,1, N110,, Yellow Small,9,82, Black Hole, Unknown (R02), Unknown (C002)
unknown,J144704,1, N110,, White Dwarf,10,75,, Unknown (R02), Unknown (C002)
unknown,J115815,1, N110,, Orange radiant,9,67,, Unknown (R02), Unknown (C002)
unknown,J133653,1, N110,, Orange Bright,5,10,, Unknown (R02), Unknown (C002)
unknown,J171700,1, N110,, Orange Bright,12,48,, Unknown (R02), Unknown (C002)
unknown,J104628,1, N110,, Blue Bright,6,22,, Unknown (R02), Unknown (C003)
unknown,J114546,1, N110,, Orange radiant,7,38,, Unknown (R02), Unknown (C003)
unknown,J235419,1, N110,, Yellow Small,7,7,, Unknown (R02), Unknown (C003)
unknown,J204503,1, N110,, Pink,10,55, Magnetar, Unknown (R02), Unknown (C003)
unknown,J215417,1, N110,, Pink Small,7,44,, Unknown (R02), Unknown (C003)
unknown,J110545,1, N110,, Orange,10,35,, Unknown (R02), Unknown (C003)
unknown,J153536,1, N110,, Yellow,10,24,, Unknown (R02), Unknown (C003)
unknown,J150407,1, N110,, Blue Bright,12,64, Red Giant, Unknown (R02), Unknown (C003)
unknown,J153530,1, N110,, Red Giant,7,36,, Unknown (R02), Unknown (C003)
unknown,J131232,1, N110,, Yellow,12,72,, Unknown (R02), Unknown (C003)
unknown,J101020,1, N110,, Yellow Small,8,50,, Unknown (R02), Unknown (C003)
unknown,J133613,1, N110,, White Dwarf,13,53,, Unknown (R02), Unknown (C004)
unknown,J165901,1, N110,, Orange Bright,8,44,, Unknown (R02), Unknown (C004)
unknown,J152006,1, N110,, Yellow,7,58,, Unknown (R02), Unknown (C004)
unknown,J160345,1, N110,, Orange,8,44,, Unknown (R02), Unknown (C004)
unknown,J134330,1, N110,, Pink,8,14,, Unknown (R02), Unknown (C004)
unknown,J213342,1, N110,, Red Giant,10,27,, Unknown (R02), Unknown (C004)
unknown,J150745,1, N110,, Yellow,9,33,, Unknown (R02), Unknown (C004)
unknown,J165056,1, N110,, Red Giant,10,26,, Unknown (R02), Unknown (C004)
unknown,J150827,1, N110,, Orange Bright,12,20,, Unknown (R02), Unknown (C004)
unknown,J144632,1, N110,, Blue,9,36,, Unknown (R02), Unknown (C004)
unknown,J102630,1, N110,, Yellow Small,11,42,, Unknown (R02), Unknown (C004)
unknown,J133335,1, N110,, Pink,8,14,, Unknown (R02), Unknown (C004)
unknown,J125925,1, N110,, Orange radiant,8,36,, Unknown (R02), Unknown (C005)
unknown,J142617,1, N110,, Orange,8,52,, Unknown (R02), Unknown (C005)
unknown,J150818,1, N110,, Blue Bright,8,42, Pulsar, Unknown (R02), Unknown (C005)
unknown,J114420,1, N110,, Yellow Small,6,7,, Unknown (R02), Unknown (C005)
unknown,J112250,1, N110,, Pink Small,9,40,, Unknown (R02), Unknown (C005)
unknown,J155935,1, N110,, Blue Small,10,39,, Unknown (R02), Unknown (C005)
unknown,J115738,1, N110,, Yellow,10,61, Pulsar, Unknown (R02), Unknown (C005)
unknown,J232715,1, N110,, Pink Small,11,56,, Unknown (R02), Unknown (C005)
unknown,J110051,1, N110,, Orange radiant,6,82,, Unknown (R02), Unknown (C005)
unknown,J152928,1, N110,, Orange,8,54,, Unknown (R02), Unknown (C006)
unknown,J132216,1, N110,, Orange radiant,12,57,, Unknown (R02), Unknown (C006)
unknown,J132758,1, N110,, Orange,10,28, Cataclysmic Variable, Unknown (R02), Unknown (C006)
unknown,J134145,1, N110,, Orange radiant,9,83, Pulsar, Unknown (R02), Unknown (C006)
unknown,J102849,1, N110,, Orange radiant,11,41,, Unknown (R02), Unknown (C006)
unknown,J120335,1, N110,, Yellow,9,80,, Unknown (R02), Unknown (C006)
unknown,J104439,1, N110,, Pink Small,7,68, Wolf-Rayet Star, Unknown (R02), Unknown (C006)
unknown,J122717,1, N110,, Orange Bright,7,5,, Unknown (R02), Unknown (C006)
unknown,J101817,1, N110,, Blue Small,5,7,, Unknown (R02), Unknown (C006)
unknown,J131551,1, N110,, Orange radiant,8,52, Black Hole, Unknown (R02), Unknown (C006)
unknown,J115200,1, N110,, Orange,11,108,, Unknown (R02), Unknown (C007)
unknown,J155029,1, N110,, Orange radiant,10,39, Black Hole, Unknown (R02), Unknown (C007)
unknown,J223703,1, N110,, Pink Small,7,69,, Unknown (R02), Unknown (C007)
unknown,J233359,1, N110,, Yellow Small,8,61,, Unknown (R02), Unknown (C007)
unknown,J114107,1, N110,, Yellow,12,69,, Unknown (R02), Unknown (C007)
unknown,J152014,1, N110,, Pink Small,8,7,, Unknown (R02), Unknown (C007)
unknown,J100211,1, N110,, Orange radiant,6,49,, Unknown (R02), Unknown (C007)
unknown,J104103,1, N110,, Pink Small,8,29,, Unknown (R02), Unknown (C007)
unknown,J171019,1, N110,, Orange radiant,13,57, Cataclysmic Variable, Unknown (R02), Unknown (C007)
unknown,J114313,1, N110,, Orange radiant,11,54,, Unknown (R02), Unknown (C007)
unknown,J130542,1, N110,, White,11,46,, Unknown (R02), Unknown (C008)
unknown,J114719,1, N110,, Pink Small,10,16,, Unknown (R02), Unknown (C008)
unknown,J130322,1, N110,, Blue,8,45,, Unknown (R02), Unknown (C008)
unknown,J161524,1, N110,, Yellow,3,8, Pulsar, Unknown (R02), Unknown (C008)
unknown,J162858,1, N110,, Orange,7,43,, Unknown (R02), Unknown (C008)
unknown,J121158,1, N110,, White Dwarf,7,27, Black Hole, Unknown (R02), Unknown (C008)
unknown,J113050,1, N110,, Blue,6,45,, Unknown (R02), Unknown (C008)
unknown,J141514,1, N110,, White Dwarf,9,76,, Unknown (R02), Unknown (C008)
unknown,J220654,1, N110,, Pink,8,41,, Unknown (R02), Unknown (C008)
unknown,J162118,1, N110,, Orange,12,54, Cataclysmic Variable, Unknown (R02), Unknown (C008)
unknown,J231004,1, N110,, Orange radiant,8,56, Cataclysmic Variable, Unknown (R02), Unknown (C008)
unknown,J120621,1, N110,, Orange radiant,5,37,, Unknown (R02), Unknown (C008)
unknown,J151601,1, N110,, Pink,12,62,, Unknown (R02), Unknown (C009)
unknown,J105837,1, N110,, Yellow Small,14,36,, Unknown (R02), Unknown (C009)
unknown,J143133,1, N110,, Orange radiant,7,73,, Unknown (R02), Unknown (C009)
unknown,J100422,1, N110,, Pink,4,34, Red Giant, Unknown (R02), Unknown (C009)
unknown,J104335,1, N110,, Orange,12,68, Wolf-Rayet Star, Unknown (R02), Unknown (C009)
unknown,J105700,1, N110,, Yellow Small,8,41,, Unknown (R02), Unknown (C009)
unknown,J215431,1, N110,, Yellow,8,60,, Unknown (R02), Unknown (C009)
unknown,J143628,1, N110,, Yellow Small,4,20,, Unknown (R02), Unknown (C009)
unknown,J141150,1, N110,, Orange radiant,9,67,, Unknown (R02), Unknown (C009)
unknown,J163743,1, N110,, Orange Bright,6,6,, Unknown (R02), Unknown (C009)
unknown,J161509,1, N110,, Pink,9,62,, Unknown (R02), Unknown (C009)
unknown,J150629,1, N110,, Yellow,6,39,, Unknown (R02), Unknown (C009)
unknown,J141017,1, N110,, Pink Small,8,20,, Unknown (R02), Unknown (C010)
unknown,J130045,1, N110,, Red Giant,10,28,, Unknown (R02), Unknown (C010)
unknown,J123748,1, N110,, Orange,5,50,, Unknown (R02), Unknown (C010)
unknown,J124051,1, N110,, Pink,10,26,, Unknown (R02), Unknown (C010)
unknown,J151141,1, N110,, Yellow Small,13,42,, Unknown (R02), Unknown (C010)
unknown,J112129,1, N110,, Yellow,9,14,, Unknown (R02), Unknown (C010)
unknown,J213653,1, N110,, Orange,11,50,, Unknown (R02), Unknown (C010)
unknown,J143649,1, N110,, Red Giant,7,27,, Unknown (R02), Unknown (C010)
unknown,J223855,1, N110,, Yellow Small,7,26, Red Giant, Unknown (R02), Unknown (C010)
unknown,J140019,1, N110,, Orange radiant,7,27, Black Hole, Unknown (R02), Unknown (C010)
unknown,J110605,1, N110,, Yellow,9,48,, Unknown (R02), Unknown (C010)
unknown,J122843,1, N110,, Orange radiant,6,46, Pulsar, Unknown (R02), Unknown (C010)
unknown,J205004,1, N110,, Orange radiant,9,76,, Unknown (R02), Unknown (C011)
unknown,J122114,1, N110,, Yellow Small,9,17,, Unknown (R02), Unknown (C011)
unknown,J163533,1, N110,, Red Giant,10,50, Pulsar, Unknown (R02), Unknown (C011)
unknown,J151518,1, N110,, Blue,8,25,, Unknown (R02), Unknown (C011)
unknown,J122712,1, N110,, Orange radiant,10,29,, Unknown (R02), Unknown (C011)
unknown,J143002,1, N110,, Orange radiant,9,35, Black Hole, Unknown (R02), Unknown (C011)
unknown,J160307,1, N110,, Orange radiant,10,47, Red Giant, Unknown (R02), Unknown (C011)
unknown,J213932,1, N110,, Yellow,9,42,, Unknown (R02), Unknown (C011)
unknown,J102414,1, N110,, Orange Bright,11,16,, Unknown (R02), Unknown (C011)
unknown,J170949,1, N110,, Yellow Small,5,4,, Unknown (R02), Unknown (C011)
unknown,J235001,1, N110,, Yellow Small,14,66,, Unknown (R02), Unknown (C012)
unknown,J103320,1, N110,, Yellow Small,11,97,, Unknown (R02), Unknown (C012)
unknown,J141038,1, N110,, Orange radiant,9,83, Wolf-Rayet Star, Unknown (R02), Unknown (C012)
unknown,J172003,1, N110,, Red Giant,8,44,, Unknown (R02), Unknown (C012)
unknown,J124215,1, N110,, Yellow Small,9,50, Magnetar, Unknown (R02), Unknown (C012)
unknown,J215754,1, N110,, Red Giant,8,13, Red Giant, Unknown (R02), Unknown (C012)
unknown,J102837,1, N110,, Orange Bright,10,71, Cataclysmic Variable, Unknown (R02), Unknown (C012)
unknown,J130155,1, N110,, Orange radiant,8,62,, Unknown (R02), Unknown (C012)
unknown,J170544,1, N110,, Pink Small,8,75,, Unknown (R02), Unknown (C012)
unknown,J142649,1, N110,, Pink,7,54,, Unknown (R02), Unknown (C012)
unknown,J150539,1, N110,, Blue Small,8,50, Black Hole, Unknown (R02), Unknown (C013)
unknown,J163156,1, N110,, Yellow,11,63,, Unknown (R02), Unknown (C013)
unknown,J120338,1, N110,, Yellow,6,5, Wolf-Rayet Star, Unknown (R02), Unknown (C013)
unknown,J142941,1, N110,, Orange,9,25, Magnetar, Unknown (R02), Unknown (C013)
unknown,J110126,1, N110,, Orange radiant,7,31,, Unknown (R02), Unknown (C013)
unknown,J155504,1, N110,, Yellow Small,7,24,, Unknown (R02), Unknown (C013)
unknown,J144228,1, N110,, Yellow Small,6,91, Red Giant, Unknown (R02), Unknown (C013)
unknown,J223650,1, N110,, Pink,8,27,, Unknown (R02), Unknown (C013)
unknown,J102734,1, N110,, Blue Bright,9,13,, Unknown (R02), Unknown (C013)
unknown,J105232,1, N110,, Yellow,5,5,, Unknown (R02), Unknown (C013)
unknown,J133128,1, N110,, Blue,6,47,, Unknown (R02), Unknown (C013)
unknown,J140135,1, N110,, Yellow,11,37, Pulsar, Unknown (R02), Unknown (C014)
unknown,J115216,1, N110,, Red Giant,9,35,, Unknown (R02), Unknown (C014)
unknown,J153311,1, N110,, Orange radiant,9,65,, Unknown (R02), Unknown (C014)
unknown,J164756,1, N110,, Red Giant,10,29,, Unknown (R02), Unknown (C014)
unknown,J165216,1, N110,, Orange radiant,10,79, Red Giant, Unknown (R02), Unknown (C014)
unknown,J114914,1, N110,, White Dwarf,10,14, Cataclysmic Variable, Unknown (R02), Unknown (C014)
unknown,J212504,1, N110,, White,11,73, Wolf-Rayet Star, Unknown (R02), Unknown (C014)
unknown,J120256,1, N110,, Blue Small,7,77,, Unknown (R02), Unknown (C014)
unknown,J143421,1, N110,, Yellow Small,6,48,, Unknown (R02), Unknown (C014)
unknown,J223026,1, N110,, Red Giant,9,24,, Unknown (R02), Unknown (C014)
unknown,J102918,1, N110,, Yellow Small,6,11,, Unknown (R02), Unknown (C014)
unknown,J142136,1, N110,, White Dwarf,7,32,, Unknown (R03), Unknown (C015)
unknown,J134540,1, N110,, Orange radiant,9,40,, Unknown (R03), Unknown (C015)
unknown,J124451,1, N110,, Yellow Small,10,81,, Unknown (R03), Unknown (C015)
unknown,J102749,1, N110,, Pink Small,7,52,, Unknown (R03), Unknown (C015)
unknown,J165741,1, N110,, Yellow,9,15, Cataclysmic Variable, Unknown (R03), Unknown (C015)
unknown,J142119,1, N110,, Orange radiant,8,76,, Unknown (R03), Unknown (C015)
unknown,J105642,1, N110,, White,9,62,, Unknown (R03), Unknown (C015)
unknown,J154354,1, N110,, White Dwarf,4,22, Magnetar, Unknown (R03), Unknown (C015)
unknown,J102005,1, N110,, Yellow Small,7,72,, Unknown (R03), Unknown (C015)
unknown,J133052,1, N110,, Yellow,7,33,, Unknown (R03), Unknown (C015)
unknown,J103341,1, N110,, Yellow Small,9,54,, Unknown (R03), Unknown (C015)
unknown,J142114,1, N110,, Orange radiant,7,52,, Unknown (R03), Unknown (C015)
unknown,J152353,1, N110,, Red Giant,7,36,, Unknown (R03), Unknown (C016)
unknown,J120431,1, N110,, Yellow,10,39,, Unknown (R03), Unknown (C016)
unknown,J103547,1, N110,, Blue Bright,6,7,, Unknown (R03), Unknown (C016)
unknown,J161107,1, N110,, Yellow Small,6,20,, Unknown (R03), Unknown (C016)
unknown,J160334,1, N110,, Orange,5,43, Black Hole, Unknown (R03), Unknown (C016)
unknown,J101845,1, N110,, Yellow,9,59,, Unknown (R03), Unknown (C016)
unknown,J171805,1, N110,, Yellow Small,7,6, Red Giant, Unknown (R03), Unknown (C016)
unknown,J134610,1, N110,, Red Giant,9,53, Wolf-Rayet Star, Unknown (R03), Unknown (C016)
unknown,J173842,1, N110,, Yellow Small,9,16,, Unknown (R03), Unknown (C016)
unknown,J155203,1, N110,, Yellow Small,8,43, Wolf-Rayet Star, Unknown (R03), Unknown (C017)
unknown,J121935,1, N110,, Orange radiant,8,64,, Unknown (R03), Unknown (C017)
unknown,J105013,1, N110,, Orange,1,19, Cataclysmic Variable, Unknown (R03), Unknown (C017)
unknown,J161846,1, N110,, Yellow,8,50,, Unknown (R03), Unknown (C017)
unknown,J113632,1, N110,, Red Giant,9,25, Magnetar, Unknown (R03), Unknown (C017)
unknown,J170106,1, N110,, Orange,10,38,, Unknown (R03), Unknown (C017)
unknown,J123828,1, N110,, Pink,5,6,, Unknown (R03), Unknown (C017)
unknown,J172147,1, N110,, Pink Small,11,58,, Unknown (R03), Unknown (C017)
unknown,J164759,1, N110,, Orange,5,37,, Unknown (R03), Unknown (C017)
unknown,J212957,1, N110,, Red Giant,9,35,, Unknown (R03), Unknown (C018)
