System,Region,Coordinates,SecurityRating,Stations,AsteroidBelts,IceBelts
Majamar,Derelik,"-8.41248352828522,-7.33814671362281",0.369186258,0,15,1
Ihal,Derelik,"-8.40600804772256,-8.48113598184454",0.492701245,0,15,1
Camal,Derelik,"-10.3505841227187,-8.93930676320562",0.212976885,1,6,0
Fera,Derelik,"-7.89993327663872,-7.42992241526389",0.477246354,0,3,0
Juddi,Derelik,"-7.19581782824363,-8.16960298037552",0.649136639,1,10,0
Maspah,Derelik,"-5.76655044778695,-8.42981695227803",0.799900977,2,13,0
Ibaria,Derelik,"-6.68611687634074,-8.50008275831593",0.730978722,1,4,0
Shala,Derelik,"-5.78339243559806,-8.50396054269296",0.715563758,0,8,0
Zemalu,Derelik,"-5.8441885318365,-7.83530059426233",0.725158525,1,5,0
Khankenirdia,Derelik,"-7.14953454787194,-7.64479845926271",0.613595835,1,5,0
Nikh,Derelik,"-6.10247758950023,-8.57144326050021",0.774198461,1,7,0
Amphar,Derelik,"-6.00772641849292,-8.15062604088121",0.702186995,0,13,0
Salashayama,Derelik,"-5.35018742007935,-7.84621444958397",0.665586231,1,4,0
Janus,Derelik,"-5.67517054350979,-6.70197231344477",0.545570545,0,8,0
Agha,Derelik,"-6.46907203926126,-8.55291288051228",0.718782621,1,10,0
Iosantin,Derelik,"-5.93838021602359,-6.04263493825866",0.45034335,0,14,0
Orva,Derelik,"-5.85355414253823,-5.88313337562485",0.509949589,0,11,1
Zet,Derelik,"-5.77789872380622,-6.18991129088736",0.569697661,0,6,0
Akhrad,Derelik,"-6.5667847016388,-5.54678100921198",0.358476525,0,17,0
Pirohdim,Derelik,"-6.08303349138,-6.60537053217881",0.62869609,0,12,0
Sharir,Derelik,"-6.56721581177466,-6.09415480924069",0.396848687,0,14,0
Usroh,Derelik,"-6.37397620084526,-8.35118643202341",0.597457508,0,9,0
Thiarer,Derelik,"-6.15744045628718,-6.00382546012184",0.542032781,1,8,0
Gomati,Derelik,"-9.28053413210599,-10.2466093278155",0.387421324,0,17,0
Jangar,Derelik,"-8.16962063677692,-10.3711104103329",0.527328625,3,6,0
Nakah,Derelik,"-9.82266692740087,-11.5776531141552",0.363864338,2,3,1
Irshah,Derelik,"-8.94544015123411,-9.53234439861444",0.429506645,1,7,0
Hasateem,Derelik,"-9.18229839921105,-10.9124883950156",0.426496412,5,17,0
Assah,Derelik,"-10.318839407144,-11.5655018402866",0.297802199,3,27,0
Tidacha,Derelik,"-5.62087714810792,-9.66661314253909",0.820099045,1,17,0
Odlib,Derelik,"-5.59837849476677,-10.0580464528326",0.824516601,0,23,0
Jofan,Derelik,"-5.55595571021433,-10.7343994369715",0.779548204,0,10,0
Milu,Derelik,"-6.00428195134436,-9.60660937674658",0.769625318,0,19,0
Yadi,Derelik,"-6.01416070084735,-10.7977718946196",0.750268476,0,13,0
Buftiar,Derelik,"-5.78193725489056,-11.2289887271664",0.708741297,0,27,0
Jarizza,Derelik,"-6.52665320138424,-9.9552082879405",0.76543098,2,13,0
Ejahi,Derelik,"-6.55130666984089,-10.6306688887847",0.728910235,2,4,0
Asghatil,Derelik,"-6.14057455879477,-9.55558314894629",0.794778168,1,7,0
Bar,Derelik,"-7.42721363095167,-9.84431071728107",0.66583813,0,19,0
Sucha,Derelik,"-7.20854219908485,-10.627609183753",0.658264787,0,20,0
Gelhan,Derelik,"-6.98048566086591,-10.1293245585079",0.701676428,3,24,1
Akeva,Derelik,"-7.38014096288304,-9.47094724950392",0.664834849,2,5,0
Sosa,Derelik,"-9.41569746635618,-8.34869173143548",0.301179027,0,19,0
Ilahed,Derelik,"-9.07067029546431,-8.17956633341842",0.315943466,0,11,0
Eshwil,Derelik,"-9.7642794568668,-8.86819786457933",0.218968471,0,2,0
Aranir,Derelik,"-10.0539545847313,-8.4224358460811",0.242788607,1,14,0
Ishkad,Derelik,"-8.61390834679175,-8.41129613616262",0.366035538,1,4,0
Hahyil,Derelik,"-10.4268722287202,-8.89581613496796",0.208114842,0,23,0
Asilem,Derelik,"-8.56590283284578,-5.98285040597033",0.284997696,0,10,0
Mahnagh,Derelik,"-9.6570831066938,-6.08738873394272",0.205003378,0,11,0
Shach,Derelik,"-8.38906968543728,-6.05172466787748",0.32604308,0,5,0
Kehrara,Derelik,"-8.54106250093877,-7.36651979465454",0.364844024,2,7,0
Arena,Derelik,"-7.63250814133721,-6.85486266198993",0.442329882,0,11,0
Timeor,Derelik,"-8.21731127846264,-5.66170166164695",0.314131069,0,8,0
Uhtafal,Derelik,"-7.39730812251417,-7.30163698009466",0.499612286,0,14,0
Dysa,Derelik,"-8.99731094296644,-6.13659304313279",0.236195309,1,7,0
Serad,Derelik,"-7.09062621388221,-6.92377922569789",0.525836373,1,21,1
Mahti,Derelik,"-8.71142899593903,-5.93589324009006",0.228281786,0,14,1
Abha,Derelik,"-7.2003290355774,-7.74338143447171",0.434101313,0,6,0
Shedoo,Derelik,"-8.37581120886249,-8.94335596169336",0.506117739,0,16,0
Gamis,Derelik,"-8.25489216623778,-10.2362648910611",0.473906174,1,7,1
Nieril,Derelik,"-8.7753326166026,-10.1098098348746",0.353440208,0,6,0
Berta,Derelik,"-7.87140128811779,-8.53722444342632",0.489557234,1,13,0
Bekirdod,Derelik,"-8.8535511544047,-10.667189657529",0.405349115,0,13,0
Hothomouh,Derelik,"-8.13410996057737,-10.1697231116601",0.422981028,1,18,0
Arnola,Derelik,"-4.13040279255285,-5.34522376780293",0.462835403,1,1,0
Astabih,Derelik,"-3.75849597682683,-5.15086812595122",0.408817589,0,11,1
Ubtes,Derelik,"-3.59922799350598,-4.99486731023193",0.336073246,0,7,0
Bimener,Derelik,"-3.93678283353748,-4.63895240076147",0.270041198,0,5,0
Kenobanala,Derelik,"-3.62503280565689,-4.48955948853822",0.289398349,0,7,1
Khabi,Derelik,"-4.31348519802183,-4.49160615827613",0.248618615,0,25,0
Uanzin,Derelik,"-4.81218474837588,-5.27413767535792",0.433972025,1,8,0
Itamo,The Forge,"11.1978825842975,-11.2560103587756",0.671738343,12,5,0
Mitsolen,The Forge,"11.4066274472987,-12.0342524769332",0.633705945,4,7,1
Jatate,The Forge,"9.98387784917468,-11.3233135699433",0.637428133,4,2,0
Mahtista,The Forge,"10.7985141986103,-11.9280441488417",0.658237551,0,7,0
Vaankalen,The Forge,"10.3154736580374,-10.3816549528156",0.647170374,1,11,0
Kylmabe,The Forge,"11.6245911522904,-11.455264912827",0.73193132,0,3,0
Ahtulaima,The Forge,"11.4451455950439,-10.2314240978147",0.612688915,0,12,1
Geras,The Forge,"8.89111144306029,-10.8837334945851",0.650146462,2,14,0
Sirseshin,The Forge,"8.37499386520438,-12.2129903072428",0.747992816,2,5,1
Tuuriainas,The Forge,"8.78444699158997,-11.2954466387456",0.610848927,8,2,0
Unpas,The Forge,"9.83381252281735,-12.8835093262737",0.945964553,5,22,0
Shihuken,The Forge,"9.55731715345483,-12.2231920215349",0.874584975,4,3,0
Nomaa,The Forge,"9.43404833973538,-10.2548997380213",0.606936086,3,6,0
Ansila,The Forge,"10.9208016114026,-14.1907839349533",0.91201701,7,7,0
Hirtamon,The Forge,"11.1641750668068,-13.377230510699",0.974726207,7,4,0
Hykkota,The Forge,"10.5853589168421,-14.6700680788356",0.823653465,2,6,0
Outuni,The Forge,"10.7892563654426,-14.8747791926887",0.734172299,2,20,1
Ohmahailen,The Forge,"10.4942953561997,-14.9794153665098",0.663810823,4,11,0
Eskunen,The Forge,"10.5342914908028,-15.3519004289575",0.625293935,4,13,0
Ikuchi,The Forge,"11.4295800169879,-13.7996816819161",0.986814623,3,8,0
Urlen,The Forge,"9.95240165781046,-13.9376796022883",0.959995211,3,2,0
Maurasi,The Forge,"11.0028861626783,-12.5986646920959",0.912747593,2,25,0
Kisogo,The Forge,"8.91820075749524,-13.6079097582848",1,1,4,0
Jita,The Forge,"11.746922706009,-12.9064861734878",0.945913117,14,0,0
Niyabainen,The Forge,"10.790963149708,-14.4006154015412",0.9639236,12,10,0
Perimeter,The Forge,"10.4178623206742,-14.3265233088943",0.953123231,5,3,0
New Caldari,The Forge,"11.4489542252206,-13.6591309420335",1,5,2,0
Saisio,The Forge,"9.88810076840847,-10.2163624625311",0.652440258,4,9,0
Abagawa,The Forge,"8.75346665050009,-9.3195238525388",0.625297524,4,10,0
Jakanerva,The Forge,"11.2001668795974,-10.77362089753",0.743252265,13,21,0
Gekutami,The Forge,"11.1772143099082,-9.54090848284134",0.699187208,8,4,1
Hurtoken,The Forge,"8.67274752661209,-9.00961082476447",0.585977998,3,4,1
Uoyonen,The Forge,"11.6754753932848,-9.79308953353238",0.69878041,1,5,0
Hampinen,The Forge,"9.06408004836968,-8.61252967709529",0.541326682,5,8,0
Poinen,The Forge,"9.41061463345514,-9.83398025849181",0.558052577,10,22,0
Liekuri,The Forge,"10.1436453611753,-9.78916613682364",0.600608295,4,6,0
Obanen,The Forge,"9.94790222141096,-9.22641656490747",0.561731733,0,9,0
Josameto,The Forge,"9.8168800459992,-9.21303155086644",0.577656293,8,8,0
Otela,The Forge,"9.35019741389732,-8.96204009939061",0.531906741,3,19,1
Olo,The Forge,"10.019445172953,-8.26744291587569",0.676040547,4,1,0
Ikami,The Forge,"8.48340335643026,-8.11450033384442",0.532008285,4,26,0
Reisen,The Forge,"8.21715752075333,-7.70534810172306",0.518560559,1,15,0
Purjola,The Forge,"8.61311013087868,-7.74277228903989",0.520526761,3,6,0
Maila,The Forge,"9.22505628729966,-7.50532696615603",0.440715381,8,5,0
Akora,The Forge,"9.4326218506763,-6.70751053403745",0.324624876,6,2,0
Messoya,The Forge,"8.56050586334089,-5.94997972772636",0.315086024,1,7,0
Ishisomo,The Forge,"11.566544302916,-8.1148409550041",0.650831543,5,18,0
Airmia,The Forge,"11.5923520577851,-7.62885841864963",0.623113152,0,6,0
Sakkikainen,The Forge,"11.8987926624497,-7.71613615526571",0.594888749,3,15,0
Friggi,The Forge,"12.00272993755,-7.38757724528421",0.509152956,3,14,0
Ihakana,The Forge,"12.1304533109936,-7.12226131273562",0.380808678,2,11,0
Vahunomi,The Forge,"12.382244449757,-7.97214717094031",0.531591776,1,7,0
Otitoh,The Forge,"11.7443205957308,-6.7227266627176",0.481666891,2,4,0
Otomainen,The Forge,"11.8873630934831,-7.77811670090862",0.4791586,0,14,0
Vattuolen,The Forge,"11.6470441932998,-8.7946832829668",0.708073071,4,12,1
Onuse,The Forge,"12.0548162843502,-8.50858357384056",0.740427063,2,16,0
Soshin,The Forge,"11.9698603628369,-8.87445116891967",0.634221028,5,4,0
Keikaken,The Forge,"12.4052345392799,-8.53788729368788",0.721319231,2,5,0
Ukkalen,The Forge,"12.9160044383989,-8.44731222644732",0.645119863,4,5,0
Akkilen,The Forge,"12.211378426077,-8.32601872123462",0.689045573,2,3,0
Silen,The Forge,"12.2998899028655,-9.54715222330916",0.522202879,3,5,1
Osmon,The Forge,"9.8490970700105,-7.72172219525185",0.680264298,5,7,3
Korsiki,The Forge,"10.0083466612427,-7.07219809380473",0.643165759,6,8,0
Inaya,The Forge,"9.91203253199394,-7.99112116768563",0.552350224,2,23,0
Nuken,The Forge,"10.5753962994865,-7.61807698626136",0.761305682,3,7,0
Uminas,The Forge,"9.26742647052237,-7.65295791790956",0.483909154,4,5,0
Airaken,The Forge,"9.93216743630604,-6.61839947572051",0.503991882,6,6,0
Oijanen,The Forge,"9.82360565874534,-6.17518144857817",0.351968653,0,13,0
Wuos,The Forge,"10.0137193531918,-7.68603421950531",0.561773868,2,5,2
Hentogaira,The Forge,"12.9343994527353,-8.73482665376007",0.56695828,10,24,2
Kiainti,The Forge,"13.3868723702964,-8.62489135628279",0.528522107,4,8,0
Vasala,The Forge,"13.6942244860315,-9.14728357328584",0.493712283,6,6,0
Walvalin,The Forge,"14.0857078227803,-8.71283341453492",0.378683207,0,12,0
Otanuomi,The Forge,"14.2703848208881,-8.73732576844063",0.372287256,5,13,1
Vouskiaho,The Forge,"13.7572842784503,-9.84573205659111",0.500278963,8,17,0
Otsela,The Forge,"13.6751732425879,-8.5132088119882",0.384399876,3,8,0
Tasti,The Forge,"8.273059854572,-5.61066108800702",0.282290969,5,28,0
Otosela,The Forge,"8.31031483480902,-5.20985664938822",0.238157131,3,12,0
Uemon,The Forge,"8.13342798257077,-4.72163837278374",0.197446781,2,13,0
Paala,The Forge,"8.3241714215686,-4.22833983818358",0.134378952,0,4,0
Fuskunen,The Forge,"7.79368007190283,-4.7004117151051",0.224636623,0,16,1
Akkio,The Forge,"8.33172614890713,-4.71051668707942",0.162151414,1,13,0
Uchoshi,The Forge,"14.1126808993396,-10.0496692320561",0.47417905,9,19,0
Mastakomon,The Forge,"14.2214368971923,-9.87706331840044",0.456966104,10,6,0
Eruka,The Forge,"14.3376909747739,-9.52183958299634",0.417260816,5,10,0
Ohkunen,The Forge,"14.5820715800665,-9.52017988246793",0.38488669,3,8,0
Obe,The Forge,"14.7778397330121,-9.28424123805956",0.346931481,4,3,1
Wirashoda,The Forge,"14.1377176585695,-10.6151172886939",0.49363579,3,3,0
Osaa,The Forge,"14.710499737698,-8.93813629176632",0.329198935,1,7,0
LZ-6SU,Vale of the Silent,"16.1085355413504,-6.8172449900992",-0.172783127,0,14,1
MC6O-F,Vale of the Silent,"17.564147357346,-6.64384968871573",-0.280434953,0,2,0
U54-1L,Vale of the Silent,"17.3566053358378,-6.9083335639538",-0.268069767,0,21,1
B-588R,Vale of the Silent,"15.6333918206502,-7.09221676024122",-0.154770226,0,24,0
NCGR-Q,Vale of the Silent,"17.3211204085686,-6.69088410129428",-0.260516533,0,11,0
G-LOIT,Vale of the Silent,"15.9732802467187,-6.49396460465438",-0.157009299,0,25,0
HE-V4V,Vale of the Silent,"16.8747212887082,-6.21041035822768",-0.214402934,0,28,0
N-HSK0,Vale of the Silent,"19.2432419711808,-9.9374194762869",-0.36044045,0,4,0
05R-7A,Vale of the Silent,"19.4554997198436,-9.1474049609722",-0.401775551,0,5,0
7-UH4Z,Vale of the Silent,"19.6323137394762,-9.6693042704499",-0.363871344,0,26,0
5ZO-NZ,Vale of the Silent,"19.1930742852777,-8.93085818116709",-0.303460798,0,9,0
FS-RFL,Vale of the Silent,"19.1193971177706,-9.00407333985903",-0.370815824,0,8,0
Y0-BVN,Vale of the Silent,"20.4939572812473,-10.1434960175277",-0.439537251,0,9,2
X97D-W,Vale of the Silent,"19.8627163703228,-9.36912506262367",-0.427644902,0,14,0
0-R5TS,Vale of the Silent,"16.8139788973304,-6.72010468897618",-0.218626806,0,15,0
H-UCD1,Vale of the Silent,"16.3905404396881,-5.75497594929636",-0.172228764,0,9,0
7-K5EL,Vale of the Silent,"16.1981696701848,-5.32974021841237",-0.150502056,0,6,0
H-5GUI,Vale of the Silent,"14.9434316462172,-4.85835767630823",-0.14051498,0,14,0
FH-TTC,Vale of the Silent,"15.3562600856128,-3.49915231775579",-0.137552926,0,9,0
FMBR-8,Vale of the Silent,"15.6509952402279,-3.29641504103491",-0.138441089,0,15,0
3HX-DL,Vale of the Silent,"20.6797834159568,-9.72338505350198",-0.423819136,0,9,0
UH-9ZG,Vale of the Silent,"20.5097038372556,-10.286486281794",-0.462583591,0,4,0
NFM-0V,Vale of the Silent,"20.5484066413894,-9.46639631530556",-0.499122579,0,4,0
YXIB-I,Vale of the Silent,"20.8708343703733,-10.0633897174769",-0.506995056,0,16,2
MY-T2P,Vale of the Silent,"20.72738504001,-10.3893222396552",-0.377080783,0,7,0
FA-DMO,Vale of the Silent,"21.0434711827082,-9.61267728901105",-0.385582816,0,24,0
GEKJ-9,Vale of the Silent,"20.7354201682523,-10.9456397362479",-0.386353757,0,16,0
Q-R3GP,Vale of the Silent,"20.4846729634929,-9.34045623710759",-0.355138,0,9,0
N-5QPW,Vale of the Silent,"21.1631682561256,-8.90111231590603",-0.392557901,0,7,0
XV-8JQ,Vale of the Silent,"21.469477173575,-10.7038244571489",-0.394929248,0,11,0
WBR5-R,Vale of the Silent,"19.2416661384742,-6.98605257310702",-0.515803443,0,2,0
4GYV-Q,Vale of the Silent,"19.6781511960287,-7.33672463862552",-0.536556145,0,14,0
4-HWWF,Vale of the Silent,"19.1967321004941,-7.96907790203613",-0.473026353,0,13,0
YMJG-4,Vale of the Silent,"19.0130703447418,-8.47543664670091",-0.41689354,0,4,0
8TPX-N,Vale of the Silent,"18.7627954483572,-7.37645004195638",-0.437191609,0,4,0
PM-DWE,Vale of the Silent,"18.687387954747,-7.33286966042978",-0.423652869,0,5,0
K8X-6B,Vale of the Silent,"19.3409583119637,-9.57258845837008",-0.430215393,0,11,0
X445-5,Vale of the Silent,"19.5674206253874,-10.3272195706387",-0.413753523,0,3,0
KRUN-N,Vale of the Silent,"18.8053738298371,-9.28636883290113",-0.386696738,0,13,1
9OO-LH,Vale of the Silent,"20.1945755536469,-10.2927256081692",-0.466964327,0,7,0
V-OJEN,Vale of the Silent,"18.1930517394845,-9.14541346743853",-0.31684271,0,8,1
EIDI-N,Vale of the Silent,"18.8428980700027,-8.86858998353786",-0.406106436,0,6,0
P3EN-E,Vale of the Silent,"17.4032373298672,-9.12453846616659",-0.274879667,0,9,0
49-0LI,Vale of the Silent,"18.3948936901617,-9.48530998606675",-0.320104364,0,3,0
IPAY-2,Vale of the Silent,"18.202218347958,-8.97524192838666",-0.339133695,0,6,0
DAYP-G,Vale of the Silent,"18.8326382367882,-8.94941136733632",-0.392761281,0,0,0
IFJ-EL,Vale of the Silent,"18.0864424642184,-9.44932111599426",-0.291599233,0,15,0
47L-J4,Vale of the Silent,"17.8000175832413,-9.49035897753948",-0.26139242,0,4,0
Q-L07F,Vale of the Silent,"18.2193803578401,-9.16611999734875",-0.322347188,0,6,0
E-D0VZ,Vale of the Silent,"18.1937991932551,-9.55056284909112",-0.270338887,0,4,0
6WW-28,Vale of the Silent,"17.4149597006309,-8.65769177679563",-0.226655904,0,5,0
A8A-JN,Vale of the Silent,"18.0532366824692,-10.5807807623699",-0.270631754,0,7,0
S-NJBB,Vale of the Silent,"18.0910257684706,-10.73422066605",-0.2815867,0,13,1
T-GCGL,Vale of the Silent,"20.6987537342967,-6.83828699138922",-0.733996062,0,23,0
0MV-4W,Vale of the Silent,"20.1981936419679,-6.64493923505137",-0.66274065,0,21,0
TVN-FM,Vale of the Silent,"20.2046249815733,-7.15928528856505",-0.645798655,0,7,0
V-NL3K,Vale of the Silent,"20.8846549086736,-6.40624692968631",-0.763534235,0,5,1
AZBR-2,Vale of the Silent,"21.0054452068321,-7.32720637374535",-0.709048211,0,11,1
Z-8Q65,Vale of the Silent,"21.6911516628947,-7.4858990530627",-0.774685105,0,7,0
0J3L-V,Vale of the Silent,"22.1741730757535,-7.2917148253217",-0.790707333,0,4,0
H-NOU5,Vale of the Silent,"15.8088080428413,-5.72203611688299",-0.140606202,0,14,0
KX-2UI,Vale of the Silent,"16.5984959149615,-5.30745417739016",-0.158273716,0,4,0
MO-FIF,Vale of the Silent,"16.276216793907,-4.7696453581042",-0.113223869,0,3,0
97-M96,Vale of the Silent,"16.9905104147565,-5.26177857107579",-0.188873281,0,13,0
MA-XAP,Vale of the Silent,"15.9250930191022,-5.07327675776426",-0.097210066,0,12,0
C-J7CR,Vale of the Silent,"15.3974700969251,-4.99202389595545",-0.085480202,0,4,0
Q-EHMJ,Vale of the Silent,"14.6539404390849,-4.7708893978364",-0.153372134,0,8,0
XSQ-TF,Vale of the Silent,"15.0645294598251,-3.81852254876977",-0.155434252,0,28,0
H-1EOH,Vale of the Silent,"14.5199902458567,-4.09367419336415",-0.171275001,0,5,0
IR-DYY,Vale of the Silent,"14.543836670215,-3.57638467272528",-0.159338944,0,3,0
C-DHON,Vale of the Silent,"13.7134302229025,-2.7513266398246",-0.123954905,0,7,0
F-D49D,Vale of the Silent,"14.4811873888434,-2.85672571676211",-0.190937546,0,11,1
MQ-O27,Vale of the Silent,"15.5434663613933,-3.03359601613599",-0.12899362,0,3,1
H-EY0P,Vale of the Silent,"15.2042783053892,-2.35823933051402",-0.156086293,0,4,0
UNAG-6,Vale of the Silent,"15.1281542566568,-1.5005910065259",-0.22354196,0,12,1
E-SCTX,Vale of the Silent,"14.412171507974,-1.41821926304525",-0.208451047,0,14,0
S6QX-N,Vale of the Silent,"14.2558300710951,-0.761837677702558",-0.217690869,0,14,0
IT-YAU,Vale of the Silent,"14.0601310723188,-0.928381380632908",-0.159459704,0,10,0
1VK-6B,Vale of the Silent,"13.6755175421839,-0.0863942619663614",-0.169139023,0,1,0
7-PO3P,Vale of the Silent,"14.7745997856845,-0.963660684553477",-0.25789085,0,12,0
1W-0KS,Vale of the Silent,"13.7967124658915,-1.14761183953857",-0.102555952,0,13,1
669-IX,Vale of the Silent,"17.4730918892324,-6.11080625519605",-0.270158285,0,6,0
0R-F2F,Vale of the Silent,"18.0890526670256,-5.36068487888668",-0.31284083,0,2,0
R-P7KL,Vale of the Silent,"17.5287050996903,-5.57975026896101",-0.263981294,0,16,0
2DWM-2,Vale of the Silent,"16.9580138312569,-5.29790906004884",-0.204038901,0,13,0
XF-PWO,Vale of the Silent,"17.9744421049455,-5.37625818159704",-0.312208463,0,8,0
1N-FJ8,Vale of the Silent,"17.3106648836876,-5.00067148019138",-0.223294902,0,11,0
VI2K-J,Vale of the Silent,"16.0553795116777,-2.56008587921496",-0.131782426,0,15,1
ZLZ-1Z,Vale of the Silent,"16.8143938224702,-1.67650133172331",-0.171072464,1,18,0
6Y-WRK,Vale of the Silent,"17.3714293455595,-2.08549612768987",-0.155659973,0,8,0
RVCZ-C,Vale of the Silent,"16.0771674953947,-1.77097404675777",-0.142495517,0,7,0
5T-KM3,Vale of the Silent,"17.9945130048372,-1.86950019045696",-0.165974408,0,6,1
LS9B-9,Vale of the Silent,"15.5978303823391,-1.38201189518978",-0.198929609,0,9,0
1-GBBP,Vale of the Silent,"20.9793461215405,-5.7624972030502",-0.771741573,0,3,0
C-FP70,Vale of the Silent,"21.4556963621392,-5.25630913680888",-0.758770594,0,14,1
T-ZWA1,Vale of the Silent,"21.0312191203037,-4.8799326798318",-0.751691614,0,12,1
ZA0L-U,Vale of the Silent,"22.2774541217157,-6.0462026323117",-0.805105103,0,8,0
G96R-F,Vale of the Silent,"22.7965725499628,-6.05116223833911",-0.873329934,0,11,0
Y-ZXIO,Vale of the Silent,"22.668971299862,-5.61809994531356",-0.900437794,0,6,0
B-E3KQ,Vale of the Silent,"17.732461297172,-1.05328368618761",-0.255469938,0,13,0
Y5J-EU,Vale of the Silent,"18.1348518680572,-0.814475602731412",-0.218753117,0,4,0
O-LR1H,Vale of the Silent,"17.4364431116474,-0.755818136584644",-0.247164183,0,7,0
G5ED-Y,Vale of the Silent,"17.771481916315,-0.0804350698341394",-0.266606323,0,17,0
BR-6XP,Vale of the Silent,"16.952329945453,0.238551904886876",-0.247887759,0,30,0
8-TFDX,Vale of the Silent,"17.5421416114993,0.398852763958444",-0.190765976,0,1,0
UL-4ZW,Vale of the Silent,"17.2681571277825,0.750350173695318",-0.408137327,0,3,0
A-QRQT,Vale of the Silent,"16.7799373798343,0.0357359445750513",-0.127802278,0,16,0
WMBZ-U,Vale of the Silent,"16.6873664049983,0.480588877442196",-0.086598993,0,7,0
PX5-LR,Vale of the Silent,"16.2154420324754,1.01393173388556",-0.171644253,0,12,0
A3-RQ3,Vale of the Silent,"15.9574086246186,1.58168909904463",-0.29628365,0,2,0
9-GBPD,Vale of the Silent,"15.5863625578516,1.79392091490469",-0.159623325,0,15,0
LS-JEP,Vale of the Silent,"15.3611612048434,2.18328677244367",-0.243477245,1,9,0
R-RSZZ,Vale of the Silent,"17.2519735761403,0.590945721204415",-0.436438657,0,27,0
MGAM-4,Vale of the Silent,"16.6031351311051,0.718115079487075",-0.575365041,0,6,0
VORM-W,Vale of the Silent,"16.8416273307419,0.572401915004415",-0.558546183,0,4,0
